District,Year,Filename,Size (KB)
Gumuk mas,2022,Gumuk mas dalam angka 2022.pdf,3958.28
Gumuk mas,2021,Gumuk mas dalam angka 2021.pdf,3964.94
Gumuk mas,2024,Gumuk mas dalam angka 2024.pdf,8048.12
Gumuk mas,2023,Gumuk mas dalam angka 2023.pdf,14293.27
Gumuk mas,2020,Gumuk mas dalam angka 2020.pdf,3336.30
Sumber baru,2023,Sumber baru dalam angka 2023.pdf,6936.89
Sumber baru,2020,Sumber baru dalam angka 2020.pdf,3344.82
Sumber baru,2024,Sumber baru dalam angka 2024.pdf,19219.70
Sumber baru,2022,Sumber baru dalam angka 2022.pdf,7443.15
Sumber baru,2021,Sumber baru dalam angka 2021.pdf,3676.58